Instance(0): 	 2.274414 3.680664 0.819934 
Instance(1): 	 2.239258 3.786133 0.778760 
Instance(2): 	 2.415039 3.750977 0.812427 
Instance(3): 	 2.344727 3.645508 0.854664 
Instance(4): 	 2.291992 3.698242 0.822034 
Instance(5): 	 2.256836 3.821289 0.768397 
Instance(6): 	 2.309570 3.698242 0.827498 
Instance(7): 	 2.256836 3.768555 0.789286 
Instance(8): 	 2.309570 3.698242 0.827498 
Instance(9): 	 2.379883 3.627930 0.870952 
Instance(10): 	 2.116211 3.856445 0.723159 
Instance(11): 	 2.309570 3.698242 0.827498 
Instance(12): 	 2.291992 3.715820 0.816658 
Instance(13): 	 2.362305 3.663086 0.854013 
Instance(14): 	 2.362305 3.663086 0.854013 
Instance(15): 	 2.274414 3.715820 0.811223 
Instance(16): 	 2.291992 3.698242 0.822034 
Instance(17): 	 2.274414 3.698242 0.815918 
Instance(18): 	 2.327148 3.663086 0.843781 
Instance(19): 	 2.274414 3.715820 0.811223 
Instance(20): 	 2.379883 3.663086 0.857996 
Instance(21): 	 2.309570 3.715820 0.821434 
Instance(22): 	 2.344727 3.715820 0.828884 
Instance(23): 	 2.116211 3.856445 0.723159 
Instance(24): 	 2.204102 3.786133 0.768862 
Instance(25): 	 2.344727 3.698242 0.836341 
Instance(26): 	 2.362305 3.715820 0.831501 
Instance(27): 	 2.186523 3.838867 0.747935 
Instance(28): 	 2.256836 3.750977 0.795180 
Instance(29): 	 2.309570 3.750977 0.807442 
Instance(30): 	 2.274414 3.733398 0.805878 
Instance(31): 	 2.309570 3.680664 0.832895 
Instance(32): 	 2.274414 3.715820 0.811223 
Instance(33): 	 2.309570 3.698242 0.827498 
Instance(34): 	 2.133789 3.874023 0.723702 
Instance(35): 	 2.397461 3.698242 0.843962 
Instance(36): 	 2.309570 3.698242 0.827498 
Instance(37): 	 2.221680 3.750977 0.783908 
Instance(38): 	 2.221680 3.803711 0.768352 
Instance(39): 	 2.239258 3.768555 0.784580 
Instance(40): 	 2.309570 3.733398 0.814736 
Instance(41): 	 2.397461 3.663086 0.861188 
Instance(42): 	 2.379883 3.768555 0.803379 
Instance(43): 	 2.309570 3.715820 0.821434 
Instance(44): 	 2.291992 3.715820 0.816658 
Instance(45): 	 2.309570 3.698242 0.827498 
Instance(46): 	 2.204102 3.786133 0.768862 
Instance(47): 	 2.239258 3.768555 0.784580 
Instance(48): 	 2.327148 3.733398 0.818137 
Instance(49): 	 2.379883 3.733398 0.823891 
Instance(50): 	 2.344727 3.768555 0.802988 
Instance(51): 	 2.362305 3.627930 0.865511 
Instance(52): 	 2.344727 3.698242 0.836341 
Instance(53): 	 2.168945 3.786133 0.756844 
Instance(54): 	 2.344727 3.698242 0.836341 
Instance(55): 	 2.344727 3.645508 0.854664 
Instance(56): 	 2.221680 3.768555 0.779288 
Instance(57): 	 2.221680 3.768555 0.779288 
Instance(58): 	 2.256836 3.698242 0.809185 
Instance(59): 	 2.379883 3.768555 0.803379 
Instance(60): 	 2.344727 3.680664 0.843146 
Instance(61): 	 2.291992 3.663086 0.830733 
Instance(62): 	 2.327148 3.698242 0.832277 
Instance(63): 	 2.256836 3.733398 0.800483 
Instance(64): 	 2.397461 3.592773 0.886945 
Instance(65): 	 2.327148 3.698242 0.832277 
Instance(66): 	 2.415039 3.715820 0.834627 
Instance(67): 	 2.309570 3.786133 0.791211 
Instance(68): 	 2.397461 3.663086 0.861188 
Instance(69): 	 2.274414 3.715820 0.811223 
