Instance(0): 	 2.415039 3.575195 0.897446 
Instance(1): 	 2.327148 3.680664 0.838376 
Instance(2): 	 2.344727 3.663086 0.849265 
Instance(3): 	 2.415039 3.592773 0.892262 
Instance(4): 	 2.415039 3.592773 0.892262 
Instance(5): 	 2.450195 3.645508 0.875587 
Instance(6): 	 2.432617 3.627930 0.882464 
Instance(7): 	 2.397461 3.698242 0.843962 
Instance(8): 	 2.362305 3.645508 0.860135 
Instance(9): 	 2.467773 3.522461 0.927462 
Instance(10): 	 2.274414 3.733398 0.805878 
Instance(11): 	 2.415039 3.592773 0.892262 
Instance(12): 	 2.415039 3.627930 0.879450 
Instance(13): 	 2.467773 3.592773 0.903162 
Instance(14): 	 2.467773 3.575195 0.910538 
Instance(15): 	 2.379883 3.663086 0.857996 
Instance(16): 	 2.397461 3.610352 0.881675 
Instance(17): 	 2.379883 3.610352 0.876285 
Instance(18): 	 2.432617 3.610352 0.890005 
Instance(19): 	 2.415039 3.610352 0.886255 
Instance(20): 	 2.450195 3.557617 0.912830 
Instance(21): 	 2.397461 3.610352 0.881675 
Instance(22): 	 2.520508 3.627930 0.884656 
Instance(23): 	 2.291992 3.733398 0.810640 
Instance(24): 	 2.344727 3.645508 0.854664 
Instance(25): 	 2.432617 3.645508 0.874155 
Instance(26): 	 2.485352 3.627930 0.886382 
Instance(27): 	 2.379883 3.733398 0.823891 
Instance(28): 	 2.344727 3.645508 0.854664 
Instance(29): 	 2.432617 3.663086 0.865115 
Instance(30): 	 2.397461 3.627930 0.875606 
Instance(31): 	 2.397461 3.592773 0.886945 
Instance(32): 	 2.397461 3.592773 0.886945 
Instance(33): 	 2.415039 3.627930 0.879450 
Instance(34): 	 2.274414 3.698242 0.815918 
Instance(35): 	 2.485352 3.610352 0.896131 
Instance(36): 	 2.467773 3.592773 0.903162 
Instance(37): 	 2.379883 3.645508 0.864845 
Instance(38): 	 2.379883 3.715820 0.833345 
Instance(39): 	 2.362305 3.663086 0.854013 
Instance(40): 	 2.502930 3.663086 0.862724 
Instance(41): 	 2.502930 3.610352 0.896441 
Instance(42): 	 2.485352 3.680664 0.852716 
Instance(43): 	 2.415039 3.627930 0.879450 
Instance(44): 	 2.379883 3.610352 0.876285 
Instance(45): 	 2.467773 3.592773 0.903162 
Instance(46): 	 2.362305 3.627930 0.865511 
Instance(47): 	 2.309570 3.680664 0.832895 
Instance(48): 	 2.362305 3.627930 0.865511 
Instance(49): 	 2.485352 3.663086 0.864627 
Instance(50): 	 2.450195 3.663086 0.865815 
Instance(51): 	 2.432617 3.540039 0.911948 
