Instance(128): 	 2.204102 3.803711 0.763729 
Instance(129): 	 2.274414 3.715820 0.811223 
Instance(130): 	 2.204102 3.821289 0.758074 
Instance(131): 	 2.116211 3.838867 0.726998 
Instance(132): 	 2.186523 3.786133 0.763102 
Instance(133): 	 2.168945 3.821289 0.748410 
Instance(134): 	 2.133789 3.874023 0.723702 
Instance(135): 	 2.045898 3.961914 0.677245 
Instance(136): 	 2.186523 3.961914 0.697516 
Instance(137): 	 2.221680 3.786133 0.774092 
Instance(138): 	 2.168945 3.821289 0.748410 
Instance(139): 	 2.221680 3.768555 0.779288 
Instance(140): 	 2.204102 3.821289 0.758074 
Instance(141): 	 2.256836 3.874023 0.743424 
Instance(142): 	 2.028320 3.926758 0.680395 
Instance(143): 	 2.151367 3.838867 0.738401 
Instance(144): 	 2.186523 3.838867 0.747935 
Instance(145): 	 2.098633 3.874023 0.713559 
Instance(146): 	 2.151367 3.926758 0.709491 
Instance(147): 	 2.151367 3.909180 0.716078 
Instance(148): 	 2.239258 3.750977 0.789833 
Instance(149): 	 2.168945 3.874023 0.732019 
Instance(150): 	 2.151367 3.856445 0.733481 
Instance(151): 	 2.151367 3.856445 0.733481 
Instance(152): 	 2.010742 3.997070 0.659823 
Instance(153): 	 2.204102 3.803711 0.763729 
Instance(154): 	 2.274414 3.715820 0.811223 
Instance(155): 	 2.116211 3.856445 0.723159 
Instance(156): 	 2.116211 3.856445 0.723159 
Instance(157): 	 2.221680 3.874023 0.740600 
Instance(158): 	 2.239258 3.733398 0.794486 
Instance(159): 	 2.133789 3.874023 0.723702 
Instance(160): 	 2.256836 3.750977 0.795180 
Instance(161): 	 2.098633 3.874023 0.713559 
Instance(162): 	 2.186523 3.838867 0.747935 
Instance(163): 	 2.186523 3.838867 0.747935 
Instance(164): 	 2.098633 3.838867 0.720668 
Instance(165): 	 2.327148 3.592773 0.857871 
Instance(166): 	 2.274414 3.733398 0.805878 
Instance(167): 	 2.116211 3.874023 0.718845 
Instance(168): 	 2.256836 3.838867 0.760480 
Instance(169): 	 2.221680 3.786133 0.774092 
Instance(170): 	 2.221680 3.856445 0.748192 
Instance(171): 	 2.274414 3.715820 0.811223 
Instance(172): 	 2.239258 3.750977 0.789833 
Instance(173): 	 2.168945 3.821289 0.748410 
Instance(174): 	 2.221680 3.768555 0.779288 
Instance(175): 	 2.274414 3.715820 0.811223 
Instance(176): 	 2.239258 3.786133 0.778760 
Instance(177): 	 2.239258 3.768555 0.784580 
Instance(178): 	 2.239258 3.768555 0.784580 
Instance(179): 	 2.133789 3.891602 0.718419 
Instance(180): 	 2.133789 3.856445 0.728544 
Instance(181): 	 2.221680 3.768555 0.779288 
Instance(182): 	 2.168945 3.821289 0.748410 
Instance(183): 	 2.186523 3.786133 0.763102 
Instance(184): 	 2.186523 3.821289 0.753501 
Instance(185): 	 2.204102 3.803711 0.763729 
Instance(186): 	 2.151367 3.856445 0.733481 
Instance(187): 	 2.274414 3.733398 0.805878 
Instance(188): 	 2.151367 3.645508 0.754401 
Instance(189): 	 2.291992 3.786133 0.789089 
Instance(190): 	 2.274414 3.715820 0.811223 
Instance(191): 	 2.168945 3.838867 0.743416 
Instance(192): 	 2.151367 3.856445 0.733481 
Instance(193): 	 2.221680 3.786133 0.774092 
Instance(194): 	 2.221680 3.803711 0.768352 
Instance(195): 	 1.993164 3.997070 0.655550 
