Instance(0): 	 4.014648 6.053711 0.876460 
Instance(1): 	 4.155273 6.194336 0.824792 
Instance(2): 	 4.295898 6.018555 0.887586 
Instance(3): 	 4.049805 6.088867 0.869977 
Instance(4): 	 4.084961 6.141602 0.852674 
Instance(5): 	 4.295898 6.124023 0.834746 
Instance(6): 	 4.190430 6.053711 0.882418 
Instance(7): 	 4.032227 6.088867 0.868827 
Instance(8): 	 4.190430 6.053711 0.882418 
Instance(9): 	 3.979492 6.106445 0.859178 
Instance(10): 	 4.190430 6.282227 0.773914 
Instance(11): 	 4.190430 6.176758 0.827937 
Instance(12): 	 4.120117 6.282227 0.788375 
Instance(13): 	 3.750977 6.247070 0.794176 
Instance(14): 	 4.049805 6.053711 0.880117 
Instance(15): 	 4.032227 6.106445 0.863630 
Instance(16): 	 4.190430 6.282227 0.773914 
Instance(17): 	 3.909180 6.106445 0.849234 
Instance(18): 	 3.733398 6.264648 0.787808 
Instance(19): 	 3.944336 6.053711 0.865625 
Instance(20): 	 4.120117 6.299805 0.779825 
Instance(21): 	 3.909180 6.176758 0.833254 
Instance(22): 	 3.891602 6.141602 0.839081 
Instance(23): 	 3.891602 6.106445 0.846068 
Instance(24): 	 4.331055 6.264648 0.740886 
Instance(25): 	 3.944336 6.211914 0.826335 
Instance(26): 	 4.137695 6.282227 0.785229 
Instance(27): 	 4.120117 6.124023 0.858237 
Instance(28): 	 4.084961 6.088867 0.871360 
Instance(29): 	 3.944336 6.088867 0.858648 
Instance(30): 	 3.979492 6.141602 0.849605 
Instance(31): 	 4.190430 6.176758 0.827937 
Instance(32): 	 4.190430 6.088867 0.868035 
Instance(33): 	 3.909180 6.194336 0.828669 
Instance(34): 	 4.032227 6.159180 0.846575 
Instance(35): 	 4.067383 6.176758 0.839833 
Instance(36): 	 4.067383 6.387695 0.747010 
Instance(37): 	 3.838867 6.194336 0.819539 
Instance(38): 	 3.891602 6.194336 0.826776 
Instance(39): 	 3.979492 6.194336 0.833489 
Instance(40): 	 4.014648 6.229492 0.821373 
Instance(41): 	 4.120117 6.124023 0.858237 
Instance(42): 	 4.137695 6.159180 0.842599 
