Instance(0): 	 4.243164 6.018555 0.893031 
Instance(1): 	 4.331055 6.088867 0.845946 
Instance(2): 	 4.454102 5.983398 0.875789 
Instance(3): 	 4.278320 6.106445 0.847675 
Instance(4): 	 4.331055 6.071289 0.855467 
Instance(5): 	 4.471680 6.141602 0.766561 
Instance(6): 	 4.348633 6.018555 0.879420 
Instance(7): 	 4.137695 6.053711 0.883896 
Instance(8): 	 4.418945 6.053711 0.843599 
Instance(9): 	 4.260742 6.071289 0.867918 
Instance(10): 	 4.366211 6.211914 0.761327 
Instance(11): 	 4.401367 6.124023 0.805274 
Instance(12): 	 4.313477 6.194336 0.790024 
Instance(13): 	 4.049805 6.194336 0.833679 
Instance(14): 	 4.260742 6.018555 0.891521 
Instance(15): 	 4.225586 6.071289 0.872266 
Instance(16): 	 4.418945 6.141602 0.787646 
Instance(17): 	 4.102539 6.088867 0.871589 
Instance(18): 	 4.014648 6.176758 0.840280 
Instance(19): 	 4.137695 6.000977 0.901011 
Instance(20): 	 4.348633 6.211914 0.767713 
Instance(21): 	 4.155273 6.106445 0.863359 
Instance(22): 	 4.102539 6.088867 0.871589 
Instance(23): 	 4.172852 6.071289 0.876431 
Instance(24): 	 4.454102 6.176758 0.749303 
Instance(25): 	 4.190430 6.124023 0.852654 
Instance(26): 	 4.313477 6.176758 0.800419 
Instance(27): 	 4.278320 6.106445 0.847675 
Instance(28): 	 4.278320 6.053711 0.873696 
Instance(29): 	 4.190430 6.071289 0.875357 
Instance(30): 	 4.172852 6.124023 0.854525 
Instance(31): 	 4.401367 6.106445 0.816384 
Instance(32): 	 4.436523 6.036133 0.849254 
Instance(33): 	 4.137695 6.176758 0.834925 
Instance(34): 	 4.208008 6.088867 0.866378 
Instance(35): 	 4.278320 6.124023 0.838529 
Instance(36): 	 4.313477 6.211914 0.779498 
Instance(37): 	 4.067383 6.106445 0.865099 
Instance(38): 	 4.155273 6.106445 0.863359 
Instance(39): 	 4.032227 6.106445 0.863630 
Instance(40): 	 4.225586 6.176758 0.821684 
Instance(41): 	 4.295898 6.088867 0.853362 
Instance(42): 	 4.383789 6.088867 0.832442 
Instance(43): 	 4.243164 6.053711 0.878120 
Instance(44): 	 3.979492 6.124023 0.854515 
Instance(45): 	 4.137695 6.106445 0.864334 
Instance(46): 	 4.225586 6.018555 0.894233 
Instance(47): 	 4.401367 6.141602 0.793990 
Instance(48): 	 4.454102 6.036133 0.844086 
Instance(49): 	 4.313477 6.194336 0.790024 
Instance(50): 	 4.172852 6.176758 0.830584 
Instance(51): 	 4.489258 6.053711 0.820953 
Instance(52): 	 4.225586 6.141602 0.839401 
Instance(53): 	 4.102539 6.124023 0.858846 
Instance(54): 	 4.049805 6.106445 0.864516 
