Instance(0): 	 3.926758 6.194336 0.830292 
Instance(1): 	 3.821289 6.352539 0.777121 
Instance(2): 	 4.172852 6.106445 0.862069 
Instance(3): 	 4.120117 6.106445 0.864993 
Instance(4): 	 3.821289 6.334961 0.782256 
Instance(5): 	 3.979492 6.211914 0.827684 
Instance(6): 	 4.137695 6.124023 0.857315 
Instance(7): 	 4.084961 6.124023 0.859142 
Instance(8): 	 3.979492 6.282227 0.802550 
Instance(9): 	 3.838867 6.211914 0.815724 
Instance(10): 	 3.926758 6.264648 0.808851 
Instance(11): 	 3.909180 6.229492 0.818846 
Instance(12): 	 3.997070 6.071289 0.870040 
Instance(13): 	 4.102539 6.370117 0.748506 
Instance(14): 	 3.838867 6.299805 0.793490 
Instance(15): 	 3.909180 6.141602 0.841732 
Instance(16): 	 4.172852 6.247070 0.796101 
Instance(17): 	 4.190430 6.211914 0.810518 
Instance(18): 	 4.172852 6.282227 0.778000 
Instance(19): 	 4.155273 6.352539 0.745214 
Instance(20): 	 3.750977 6.370117 0.767123 
Instance(21): 	 3.997070 6.247070 0.815231 
Instance(22): 	 4.032227 6.194336 0.834080 
Instance(23): 	 3.733398 6.229492 0.793677 
Instance(24): 	 3.856445 6.247070 0.809372 
Instance(25): 	 3.838867 6.194336 0.819539 
Instance(26): 	 3.961914 6.264648 0.809302 
Instance(27): 	 3.944336 6.106445 0.854762 
Instance(28): 	 3.715820 6.247070 0.787319 
Instance(29): 	 4.084961 6.299805 0.785640 
Instance(30): 	 3.926758 6.247070 0.814508 
Instance(31): 	 3.997070 6.264648 0.808611 
Instance(32): 	 3.821289 6.229492 0.809265 
Instance(33): 	 4.208008 6.334961 0.740304 
Instance(34): 	 3.926758 6.194336 0.830292 
Instance(35): 	 3.750977 6.282227 0.787417 
Instance(36): 	 3.979492 6.352539 0.774819 
Instance(37): 	 3.786133 6.229492 0.803704 
Instance(38): 	 4.067383 6.159180 0.846486 
Instance(39): 	 3.891602 6.141602 0.839081 
Instance(40): 	 3.838867 6.176758 0.823127 
Instance(41): 	 3.979492 6.124023 0.854515 
Instance(42): 	 4.032227 6.282227 0.799488 
Instance(43): 	 3.874023 6.176758 0.828704 
Instance(44): 	 4.190430 6.334961 0.745340 
Instance(45): 	 3.909180 6.211914 0.823863 
Instance(46): 	 4.049805 6.264648 0.805369 
Instance(47): 	 3.733398 6.475586 0.736913 
Instance(48): 	 3.909180 6.194336 0.828669 
Instance(49): 	 4.049805 6.317383 0.782459 
Instance(50): 	 4.102539 6.229492 0.815354 
Instance(51): 	 4.102539 6.299805 0.782886 
Instance(52): 	 4.067383 6.159180 0.846486 
Instance(53): 	 3.926758 6.211914 0.825237 
Instance(54): 	 3.786133 6.299805 0.788338 
Instance(55): 	 3.961914 6.282227 0.802987 
Instance(56): 	 3.856445 6.229492 0.813863 
Instance(57): 	 3.944336 6.282227 0.803140 
Instance(58): 	 4.014648 6.229492 0.821373 
Instance(59): 	 3.944336 6.124023 0.850618 
Instance(60): 	 3.838867 6.264648 0.802983 
Instance(61): 	 3.891602 6.194336 0.826776 
Instance(62): 	 3.733398 6.299805 0.781096 
Instance(63): 	 4.084961 6.229492 0.817171 
Instance(64): 	 4.049805 6.264648 0.805369 
Instance(65): 	 3.961914 6.071289 0.865145 
Instance(66): 	 3.838867 6.264648 0.802983 
Instance(67): 	 3.891602 6.229492 0.817448 
Instance(68): 	 4.067383 6.370117 0.755421 
Instance(69): 	 4.084961 6.247070 0.809514 
Instance(70): 	 3.979492 6.229492 0.821678 
Instance(71): 	 4.120117 6.229492 0.813226 
Instance(72): 	 4.137695 6.229492 0.810785 
Instance(73): 	 3.786133 6.317383 0.784005 
Instance(74): 	 4.225586 6.211914 0.803266 
Instance(75): 	 3.821289 6.229492 0.809265 
Instance(76): 	 3.856445 6.229492 0.813863 
Instance(77): 	 4.014648 6.229492 0.821373 
Instance(78): 	 3.926758 6.124023 0.848250 
Instance(79): 	 4.120117 6.106445 0.864993 
Instance(80): 	 3.979492 6.299805 0.795836 
Instance(81): 	 3.961914 6.264648 0.809302 
Instance(82): 	 4.102539 6.282227 0.791211 
Instance(83): 	 4.172852 6.282227 0.778000 
Instance(84): 	 4.014648 6.176758 0.840280 
Instance(85): 	 4.120117 6.317383 0.771160 
Instance(86): 	 4.014648 6.211914 0.827874 
Instance(87): 	 3.926758 6.211914 0.825237 
Instance(88): 	 3.961914 6.176758 0.838049 
Instance(89): 	 4.137695 6.299805 0.776454 
Instance(90): 	 3.909180 6.141602 0.841732 
Instance(91): 	 3.891602 6.264648 0.807297 
Instance(92): 	 4.155273 6.264648 0.790655 
Instance(93): 	 4.049805 6.299805 0.790234 
Instance(94): 	 4.137695 6.247070 0.802407 
Instance(95): 	 4.067383 6.317383 0.780089 
Instance(96): 	 3.997070 6.141602 0.850863 
Instance(97): 	 3.891602 6.247070 0.812471 
Instance(98): 	 3.786133 6.247070 0.800173 
Instance(99): 	 4.014648 6.106445 0.862442 
Instance(100): 	 4.120117 6.317383 0.771160 
Instance(101): 	 3.891602 6.211914 0.822219 
Instance(102): 	 4.049805 6.176758 0.840286 
Instance(103): 	 3.838867 6.176758 0.823127 
Instance(104): 	 3.838867 6.229492 0.811687 
Instance(105): 	 3.803711 6.247070 0.802832 
Instance(106): 	 3.821289 6.176758 0.819969 
Instance(107): 	 3.750977 6.247070 0.794176 
Instance(108): 	 4.120117 6.141602 0.851249 
Instance(109): 	 3.997070 6.422852 0.742652 
Instance(110): 	 4.120117 6.299805 0.779825 
Instance(111): 	 3.856445 6.247070 0.809372 
Instance(112): 	 3.979492 6.334961 0.781961 
Instance(113): 	 3.838867 6.176758 0.823127 
Instance(114): 	 4.014648 6.176758 0.840280 
Instance(115): 	 4.067383 6.229492 0.818678 
Instance(116): 	 4.067383 6.194336 0.832974 
Instance(117): 	 3.803711 6.370117 0.771006 
Instance(118): 	 3.891602 6.334961 0.784799 
Instance(119): 	 3.961914 6.176758 0.838049 
Instance(120): 	 3.680664 6.334961 0.765766 
Instance(121): 	 4.172852 6.317383 0.759465 
Instance(122): 	 3.786133 6.317383 0.784005 
Instance(123): 	 3.821289 6.176758 0.819969 
Instance(124): 	 3.891602 6.299805 0.796391 
Instance(125): 	 3.944336 6.124023 0.850618 
Instance(126): 	 4.067383 6.159180 0.846486 
Instance(127): 	 3.663086 6.352539 0.759597 
Instance(128): 	 3.715820 6.334961 0.771195 
Instance(129): 	 3.961914 6.247070 0.815440 
Instance(130): 	 3.838867 6.229492 0.811687 
Instance(131): 	 3.979492 6.247070 0.815480 
Instance(132): 	 3.803711 6.229492 0.806601 
Instance(133): 	 3.838867 6.247070 0.807438 
Instance(134): 	 3.909180 6.141602 0.841732 
Instance(135): 	 4.155273 6.317383 0.763673 
Instance(136): 	 3.821289 6.264648 0.801040 
Instance(137): 	 4.155273 6.247070 0.799412 
Instance(138): 	 3.874023 6.229492 0.815785 
Instance(139): 	 3.891602 6.176758 0.831111 
Instance(140): 	 3.926758 6.229492 0.819972 
Instance(141): 	 4.084961 6.211914 0.824657 
Instance(142): 	 3.909180 6.282227 0.802609 
Instance(143): 	 4.155273 6.317383 0.763673 
Instance(144): 	 3.926758 6.159180 0.839740 
Instance(145): 	 3.821289 6.299805 0.792016 
Instance(146): 	 3.961914 6.247070 0.815440 
Instance(147): 	 4.190430 6.141602 0.844621 
Instance(148): 	 3.856445 6.194336 0.822205 
Instance(149): 	 4.120117 6.405273 0.726529 
Instance(150): 	 3.680664 6.317383 0.768950 
Instance(151): 	 3.856445 6.299805 0.794715 
Instance(152): 	 3.750977 6.264648 0.790901 
Instance(153): 	 4.084961 6.229492 0.817171 
Instance(154): 	 3.821289 6.299805 0.792016 
Instance(155): 	 3.750977 6.264648 0.790901 
Instance(156): 	 3.856445 6.194336 0.822205 
Instance(157): 	 3.944336 6.247070 0.815114 
Instance(158): 	 3.856445 6.124023 0.836112 
Instance(159): 	 4.014648 6.282227 0.800803 
Instance(160): 	 4.278320 6.124023 0.838529 
Instance(161): 	 3.715820 6.264648 0.784505 
Instance(162): 	 4.049805 6.141602 0.852860 
Instance(163): 	 3.786133 6.229492 0.803704 
Instance(164): 	 3.733398 6.317383 0.777442 
Instance(165): 	 3.856445 6.229492 0.813863 
Instance(166): 	 3.891602 6.176758 0.831111 
Instance(167): 	 3.891602 6.106445 0.846068 
Instance(168): 	 3.838867 6.299805 0.793490 
Instance(169): 	 3.909180 6.334961 0.784782 
Instance(170): 	 3.821289 6.194336 0.816629 
Instance(171): 	 3.891602 6.282227 0.801934 
Instance(172): 	 3.926758 6.124023 0.848250 
Instance(173): 	 3.733398 6.282227 0.784554 
Instance(174): 	 4.049805 6.282227 0.797874 
Instance(175): 	 4.155273 6.299805 0.772773 
Instance(176): 	 4.084961 6.159180 0.845981 
Instance(177): 	 3.803711 6.387695 0.765776 
Instance(178): 	 3.909180 6.247070 0.813625 
Instance(179): 	 3.733398 6.282227 0.784554 
Instance(180): 	 4.014648 6.194336 0.834179 
Instance(181): 	 3.926758 6.229492 0.819972 
Instance(182): 	 3.979492 6.176758 0.839084 
Instance(183): 	 4.137695 6.317383 0.767571 
Instance(184): 	 4.084961 6.334961 0.769081 
Instance(185): 	 4.014648 6.106445 0.862442 
Instance(186): 	 3.768555 6.282227 0.790062 
Instance(187): 	 3.891602 6.229492 0.817448 
Instance(188): 	 3.909180 6.229492 0.818846 
Instance(189): 	 3.891602 6.159180 0.835215 
Instance(190): 	 3.979492 6.124023 0.854515 
Instance(191): 	 3.856445 6.211914 0.818144 
Instance(192): 	 4.084961 6.299805 0.785640 
Instance(193): 	 3.909180 6.159180 0.837611 
Instance(194): 	 3.733398 6.299805 0.781096 
Instance(195): 	 4.120117 6.264648 0.796800 
Instance(196): 	 3.856445 6.211914 0.818144 
Instance(197): 	 3.997070 6.194336 0.833981 
Instance(198): 	 4.172852 6.282227 0.778000 
Instance(199): 	 3.891602 6.194336 0.826776 
Instance(200): 	 3.891602 6.211914 0.822219 
Instance(201): 	 3.979492 6.211914 0.827684 
Instance(202): 	 3.838867 6.211914 0.815724 
Instance(203): 	 4.049805 6.299805 0.790234 
Instance(204): 	 3.803711 6.352539 0.776081 
Instance(205): 	 3.909180 6.247070 0.813625 
Instance(206): 	 3.803711 6.159180 0.819432 
Instance(207): 	 4.067383 6.211914 0.825919 
Instance(208): 	 3.733398 6.264648 0.787808 
Instance(209): 	 4.120117 6.194336 0.829004 
Instance(210): 	 4.102539 6.211914 0.823085 
Instance(211): 	 3.803711 6.211914 0.810153 
Instance(212): 	 3.997070 6.247070 0.815231 
Instance(213): 	 3.891602 6.159180 0.835215 
Instance(214): 	 3.856445 6.334961 0.784040 
Instance(215): 	 3.856445 6.247070 0.809372 
Instance(216): 	 4.067383 6.176758 0.839833 
Instance(217): 	 3.944336 6.159180 0.841594 
Instance(218): 	 3.715820 6.334961 0.771195 
Instance(219): 	 3.856445 6.141602 0.833001 
Instance(220): 	 4.102539 6.334961 0.765889 
Instance(221): 	 3.891602 6.299805 0.796391 
Instance(222): 	 4.155273 6.106445 0.863359 
Instance(223): 	 3.715820 6.282227 0.781479 
Instance(224): 	 3.961914 6.264648 0.809302 
Instance(225): 	 3.838867 6.282227 0.798331 
Instance(226): 	 3.856445 6.282227 0.799790 
Instance(227): 	 4.102539 6.247070 0.807456 
Instance(228): 	 3.874023 6.194336 0.824620 
Instance(229): 	 3.768555 6.247070 0.797285 
Instance(230): 	 3.803711 6.194336 0.813480 
Instance(231): 	 4.049805 6.159180 0.846683 
Instance(232): 	 4.313477 6.141602 0.820746 
Instance(233): 	 4.067383 6.211914 0.825919 
Instance(234): 	 3.909180 6.141602 0.841732 
Instance(235): 	 4.067383 6.194336 0.832974 
Instance(236): 	 3.750977 6.282227 0.787417 
Instance(237): 	 4.049805 6.159180 0.846683 
Instance(238): 	 3.909180 6.124023 0.845609 
Instance(239): 	 3.856445 6.282227 0.799790 
Instance(240): 	 4.067383 6.159180 0.846486 
Instance(241): 	 4.120117 6.247070 0.805088 
Instance(242): 	 3.768555 6.247070 0.797285 
Instance(243): 	 4.049805 6.106445 0.864516 
Instance(244): 	 4.049805 6.229492 0.819879 
Instance(245): 	 3.961914 6.282227 0.802987 
Instance(246): 	 3.874023 6.229492 0.815785 
Instance(247): 	 3.891602 6.299805 0.796391 
Instance(248): 	 3.874023 6.229492 0.815785 
Instance(249): 	 4.067383 6.299805 0.788088 
Instance(250): 	 3.909180 6.282227 0.802609 
Instance(251): 	 3.979492 6.299805 0.795836 
Instance(252): 	 4.102539 6.229492 0.815354 
Instance(253): 	 3.909180 6.264648 0.808210 
Instance(254): 	 3.838867 6.211914 0.815724 
Instance(255): 	 4.155273 6.159180 0.840843 
