2.000000 	 0 0 
2.040000 	 0 0 
2.080000 	 0 0 
2.120000 	 0 0 
2.160000 	 0 0 
2.200000 	 0 0 
2.240000 	 0 0 
2.280000 	 0 0 
2.320000 	 0 0 
2.360000 	 0 0 
2.400000 	 0 0 
2.440000 	 0 0 
2.480000 	 0 0 
2.520000 	 0 0 
2.560000 	 0 0 
2.600000 	 0 0 
2.640000 	 0 0 
2.680000 	 0 0 
2.720000 	 0 0 
2.760000 	 0 0 
2.800000 	 0 0 
2.840000 	 0 0 
2.880000 	 0 0 
2.920000 	 0 0 
2.960000 	 0 0 
3.000000 	 0 0 
3.040000 	 0 0 
3.080000 	 1 0 
3.120000 	 0 0 
3.160000 	 0 0 
3.200000 	 1 0 
3.240000 	 1 0 
3.280000 	 2 0 
3.320000 	 6 0 
3.360000 	 8 0 
3.400000 	 18 0 
3.440000 	 19 0 
3.480000 	 25 0 
3.520000 	 42 0 
3.560000 	 56 0 
3.600000 	 75 0 
3.640000 	 81 0 
3.680000 	 107 0 
3.720000 	 95 0 
3.760000 	 156 0 
3.800000 	 104 0 
3.840000 	 76 0 
3.880000 	 58 0 
3.920000 	 42 2 
3.960000 	 42 7 
4.000000 	 25 16 
4.040000 	 4 16 
4.080000 	 2 29 
4.120000 	 0 62 
4.160000 	 0 79 
4.200000 	 0 121 
4.240000 	 0 107 
4.280000 	 0 116 
4.320000 	 0 94 
4.360000 	 0 89 
4.400000 	 0 72 
4.440000 	 0 58 
4.480000 	 0 54 
4.520000 	 0 40 
4.560000 	 0 28 
4.600000 	 0 21 
4.640000 	 0 17 
4.680000 	 0 7 
4.720000 	 0 2 
4.760000 	 0 6 
4.800000 	 0 1 
4.840000 	 0 1 
4.880000 	 0 1 
4.920000 	 0 0 
4.960000 	 0 0 
5.000000 	 0 0 
5.040000 	 0 0 
5.080000 	 0 0 
5.120000 	 0 0 
5.160000 	 0 0 
5.200000 	 0 0 
5.240000 	 0 0 
5.280000 	 0 0 
5.320000 	 0 0 
5.360000 	 0 0 
5.400000 	 0 0 
5.440000 	 0 0 
5.480000 	 0 0 
5.520000 	 0 0 
5.560000 	 0 0 
5.600000 	 0 0 
5.640000 	 0 0 
5.680000 	 0 0 
5.720000 	 0 0 
5.760000 	 0 0 
5.800000 	 0 0 
5.840000 	 0 0 
5.880000 	 0 0 
5.920000 	 0 0 
5.960000 	 0 0 
